"Location","Year","Series","Series Code","Permits"
"California",2000,"Units in Single-Family Structures",2.0,105018.0
"California",2001,"Units in Single-Family Structures",2.0,107361.0
"California",2002,"Units in Single-Family Structures",2.0,123013.0
"California",2003,"Units in Single-Family Structures",2.0,139870.0
"California",2004,"Units in Single-Family Structures",2.0,151568.0
"California",2005,"Units in Single-Family Structures",2.0,154703.0
"California",2006,"Units in Single-Family Structures",2.0,107714.0
"California",2007,"Units in Single-Family Structures",2.0,68266.0
"California",2008,"Units in Single-Family Structures",2.0,32432.0
"California",2009,"Units in Single-Family Structures",2.0,25525.0
"California",2010,"Units in Single-Family Structures",2.0,25693.0
"California",2011,"Units in Single-Family Structures",2.0,21705.0
"California",2012,"Units in Single-Family Structures",2.0,27736.0
"California",2013,"Units in Single-Family Structures",2.0,37034.0
"California",2014,"Units in Single-Family Structures",2.0,39220.0
"California",2015,"Units in Single-Family Structures",2.0,45644.0
"California",2016,"Units in Single-Family Structures",2.0,50311.0
"California",2017,"Units in Single-Family Structures",2.0,57132.0
"California",2000,"Units in All Multi-Family Structures",3.0,40557.0
"California",2001,"Units in All Multi-Family Structures",3.0,39378.0
"California",2002,"Units in All Multi-Family Structures",3.0,36560.0
"California",2003,"Units in All Multi-Family Structures",3.0,52078.0
"California",2004,"Units in All Multi-Family Structures",3.0,55822.0
"California",2005,"Units in All Multi-Family Structures",3.0,50317.0
"California",2006,"Units in All Multi-Family Structures",3.0,52788.0
"California",2007,"Units in All Multi-Family Structures",3.0,41807.0
"California",2008,"Units in All Multi-Family Structures",3.0,30249.0
"California",2009,"Units in All Multi-Family Structures",3.0,9544.0
"California",2010,"Units in All Multi-Family Structures",3.0,18023.0
"California",2011,"Units in All Multi-Family Structures",3.0,23766.0
"California",2012,"Units in All Multi-Family Structures",3.0,30813.0
"California",2013,"Units in All Multi-Family Structures",3.0,43708.0
"California",2014,"Units in All Multi-Family Structures",3.0,44425.0
"California",2015,"Units in All Multi-Family Structures",3.0,52544.0
"California",2016,"Units in All Multi-Family Structures",3.0,52039.0
"California",2017,"Units in All Multi-Family Structures",3.0,57648.0

