,RegionName,2010-avg,2011-avg,2012-avg,2013-avg,2014-avg,2015-avg,2016-avg,2017-avg,2018-avg
39,Hawaii,505000.0,491175.0,501508.3333333333,540508.3333333334,583350.0,613916.6666666666,652025.0,686383.3333333334,720066.6666666666
49,District of Columbia,374058.3333333333,373208.3333333333,392191.6666666667,443583.3333333333,496366.6666666667,546800.0,598683.3333333334,650150.0,677683.3333333334
0,California,336508.3333333333,315358.3333333333,316741.6666666667,370458.3333333333,414208.3333333333,441575.0,474400.0,512766.6666666667,543716.6666666666
13,Massachusetts,303166.6666666667,290941.6666666667,288683.3333333333,305575.0,322316.6666666667,335100.0,353716.6666666667,381583.3333333333,402216.6666666667
12,Washington,249358.33333333334,228341.66666666666,223683.33333333334,240208.33333333334,256350.0,277566.6666666667,308950.0,344433.3333333333,372616.6666666667
21,Colorado,220700.0,212433.33333333334,219241.66666666666,235858.33333333334,255225.0,286633.3333333333,321166.6666666667,350666.6666666667,372233.3333333333
26,Oregon,216033.33333333334,197316.66666666666,196233.33333333334,213408.33333333334,232641.66666666666,253916.66666666666,285908.3333333333,316833.3333333333,334450.0
46,Alaska,296000.0,297716.6666666667,297983.3333333333,306266.6666666667,310441.6666666667,320750.0,322691.6666666667,323875.0,326500.0
10,New Jersey,300400.0,279433.3333333333,264908.3333333333,266908.3333333333,276866.6666666667,279675.0,285041.6666666667,302291.6666666667,322666.6666666667
33,Utah,214616.66666666666,199008.33333333334,197466.66666666666,213183.33333333334,229191.66666666666,240783.33333333334,259450.0,284025.0,308616.6666666667
